id,lat_x,lon_x,lat_y,lon_y,point1,point2,distance,lanes,width,dist_ –æ“π‡µ’È¬_p1,dist_ –æ“π‡µ’È¬_p2,dist_ Õßæ√– ’Ëæ√–¬“_p1,dist_ Õßæ√– ’Ëæ√–¬“_p2,dist_«‘™ “¡¬Ë“π_p1,dist_«‘™ “¡¬Ë“π_p2,dist_∂ππ∑√—æ¬Ï_p1,dist_∂ππ∑√—æ¬Ï_p2,dist_π‡√»_p1,dist_π‡√»_p2,dist_ª“°´Õ¬æÿ∑∏‚Õ ∂_p1,dist_ª“°´Õ¬æÿ∑∏‚Õ ∂_p2,dist_Red_Planet_Hotel_p1,dist_Red_Planet_Hotel_p2
194.0,13.7309068,100.5239506,13.7309504,100.5240908,p308,p324,15.90111394488898,1,7,85.3857121941973,82.79496645777171,196.391940310683,209.46848688131374,255.5775461246332,240.07647220247105,340.58529109355123,324.8800556912123,103.37353731921723,113.2044043549111,258.92660974309064,264.51189584152496,415.22514864341434,406.3245349430447
194.0,13.7309504,100.5240908,13.7309068,100.5239506,p324,p308,15.90111394488898,1,7,82.79496645777171,85.3857121941973,209.46848688131374,196.391940310683,240.07647220247105,255.5775461246332,324.8800556912123,340.58529109355123,113.2044043549111,103.37353731921723,264.51189584152496,258.92660974309064,406.3245349430447,415.22514864341434
197.0,13.7306635,100.5242,13.7309504,100.5240908,p182,p324,34.01268582224674,1,7,116.65150608192332,82.79496645777171,231.08731367992448,209.46848688131374,248.67916727630566,240.07647220247105,319.6872031105172,324.8800556912123,91.81144965524915,113.2044043549111,234.050072069956,264.51189584152496,377.4373706953089,406.3245349430447
197.0,13.7309504,100.5240908,13.7306635,100.5242,p324,p182,34.01268582224674,1,7,82.79496645777171,116.65150608192332,209.46848688131374,231.08731367992448,240.07647220247105,248.67916727630566,324.8800556912123,319.6872031105172,113.2044043549111,91.81144965524915,264.51189584152496,234.050072069956,406.3245349430447,377.4373706953089
199.0,13.7306635,100.5242,13.7307231,100.5243525,p182,p22,17.755794620423714,1,7,116.65150608192332,116.0687739660739,231.08731367992448,244.084213363889,248.67916727630566,231.7431882049315,319.6872031105172,302.08815035412664,91.81144965524915,107.62000889060347,234.050072069956,243.3713029204641,377.4373706953089,368.45021710947003
199.0,13.7306635,100.5242,13.7307326,100.5243742,p182,p210,20.324928656882086,1,7,116.65150608192332,116.104168930736,231.08731367992448,245.94471362023643,248.67916727630566,229.27016777623342,319.6872031105172,299.55797705052333,91.81144965524915,109.99966308151494,234.050072069956,244.88434946085394,377.4373706953089,367.2949372716551
199.0,13.7307231,100.5243525,13.7306635,100.5242,p22,p182,17.755794620423714,1,7,116.0687739660739,116.65150608192332,244.084213363889,231.08731367992448,231.7431882049315,248.67916727630566,302.08815035412664,319.6872031105172,107.62000889060347,91.81144965524915,243.3713029204641,234.050072069956,368.45021710947003,377.4373706953089
199.0,13.7307231,100.5243525,13.7307326,100.5243742,p22,p210,2.5710128985451757,1,7,116.0687739660739,116.104168930736,244.084213363889,245.94471362023643,231.7431882049315,229.27016777623342,302.08815035412664,299.55797705052333,107.62000889060347,109.99966308151494,243.3713029204641,244.88434946085394,368.45021710947003,367.2949372716551
199.0,13.7307326,100.5243742,13.7306635,100.5242,p210,p182,20.324928656882086,1,7,116.104168930736,116.65150608192332,245.94471362023643,231.08731367992448,229.27016777623342,248.67916727630566,299.55797705052333,319.6872031105172,109.99966308151494,91.81144965524915,244.88434946085394,234.050072069956,367.2949372716551,377.4373706953089
199.0,13.7307326,100.5243742,13.7307231,100.5243525,p210,p22,2.5710128985451757,1,7,116.104168930736,116.0687739660739,245.94471362023643,244.084213363889,229.27016777623342,231.7431882049315,299.55797705052333,302.08815035412664,109.99966308151494,107.62000889060347,244.88434946085394,243.3713029204641,367.2949372716551,368.45021710947003
